UWIDE_CATALOG"UNID"	"SUNY_ID"	"SUNY_ID_IMMUTABLE"	"IPEDS"	"DISC"	"NUM"	"DESCRIP"	"LONG_TITLE"	"SHORT_TITLE"	"MIN_CRED"	"MAX_CRED"	"SUNY_GE"	"CAT_YEAR"
"1"	"295455"	"295455.2021"	"188438"	"ADFS"	"104"	""	"Adirondack Pack Basket - Small"	"Pack Basket - Small"	"0"	"0"	"Not Applicable"	"2021"
"2"	"326583"	"326583.2021"	"188438"	"AGR"	"101"	"This course will immerse students into the agriculture community through service learning trips and guest lectures. Students will gain a broader understanding of the opportunities that exist along with beginning to form their professional network. Areas of investigation will include animal husbandry, fruit and vegetable science, turf management, sustainable farming, and wildlife, game and crops."	"Experience Agriculture"	"Experience Agriculture"	"2"	"2"	"Not Applicable"	"2021"
"3"	"326584"	"326584.2021"	"188438"	"AGR"	"102"	"Scientific concepts of sustainability will be developed and applied to agriculture on the homestead or small farm.  Using the College's farmland, orchard and gardens, students will learn to manage crops and animals as an ecosystem, develop and analyze natural and low-energy management strategies, adapt crops to climate change, and create sound economic market plans.  Hands-on fieldwork and individual research complement classroom lectures and discussions.  Students interested in sustainable agriculture will transfer these skills directly into further study or work.  Cannot be used for the major requirement of the Math/Science A.S. degree."	"Introduction to Sustainable Agriculture"	"Intro Sustainable Agriculture"	"3"	"3"	"Not Applicable"	"2021"
"4"	"326585"	"326585.2021"	"188438"	"AGR"	"103"	"Through hands-on work in our college gardens and greenhouses, student learn the basic skills of growing food, and the ecological principles supporting agriculture and food production. Lectures examine contemporary issues in food production, quality and distribution, as well as the basic biology of plant growth, composting, pest management and soil health. Individual and class projects will involve planting crops, season extension, harvesting, and distributing."	"Sustainable Food"	"Sustainable Food"	"3"	"3"	"Not Applicable"	"2021"
"5"	"326566"	"326566.2021"	"188438"	"AGR"	"112"	"This course will introduce students to core concepts in ecology as they relate to agricultural systems. Lectures and Labs will explore real world examples of interactions between plants, animals, humans, and abiotic factors in food production."	"Agro-Ecology"	"Agro-Ecology"	"3"	"3"	"Natural Sciences"	"2021"
"6"	"129181"	"129181.2021"	"188438"	"ANT"	"101"	"A survey of the basic concepts, issues, and methods of cultural anthropology as well as a cross-cultural examination of specific cultures and their histories.  Critical analysis will be applied to the nature of culture, society and the evolution of social institutions.  Topics of study include subsistence, religion, family, political organization, social stratification, and culture change.  Students will acquire knowledge of the distinctive features of the history, institutions, economy, society, and culture of at least one non-Western civilization."	"Cultural Anthropology"	"Cultural Anthropology"	"3"	"3"	"Other World Civilizations, Social Sciences"	"2021"
"7"	"129182"	"129182.2021"	"188438"	"ANT"	"103"	"A survey of human variation and evolution defined in biological, behavioral, and ecological terms.  Topics include human genetics, evolutionary processes, primate evolution, and human osteology.  A survey of hominid fossil forms will include an examination of the interaction of biology and culture in the human species and the implications for future human change.  This course satisfies the non-laboratory science requirement."	"Physical Anthropology"	"Physical Anthropology"	"3"	"3"	"Natural Sciences, Social Sciences"	"2021"
"8"	"129183"	"129183.2021"	"188438"	"ANT"	"105"	"An introduction to archaeologists and their principal excavations.  Principal features include a survey of the history of methodology and ethno-archaeology and major questions about world civilizations."	"Introduction to Archaeology"	"Introduction to Archaeology"	"3"	"3"	"Other World Civilizations, Social Sciences"	"2021"
"9"	"129184"	"129184.2021"	"188438"	"ANT"	"201"	"A survey of Native American Indian cultures from North America and Mesoamerica from the pre-Columbian period to the present.  Includes an introduction to current theoretical issues in these culture areas. Prerequisite: ANT 101, ANT 105 or SOC 101 or permission of instructor."	"Native American Prehistory/Culture"	"Native Amer Prehistory/Culture"	"3"	"3"	"Other World Civilizations"	"2021"
"47371"	"60414"	"60414.2021"	"TC3"	"ACAD"	"100"	"Promotes students' personal adjustment and academic success in their first college semester. Topics include adjusting to college, developing essential learning and time management strategies, and learning about college resources. This course is appro"	"Introduction to the College Experience"	"Intro to College Exp"	"1"	"1"	"Not Applicable"	"2021"
